gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2836626578	StillImage	image/jpeg	https://observation.org/photos/17099210.jpg							Jan Koreneef			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jan Koreneef
2836626578	StillImage	image/jpeg	https://observation.org/photos/17099220.jpg							Jan Koreneef			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jan Koreneef
2836623392	StillImage	image/jpeg	https://observation.org/photos/12846751.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836623392	StillImage	image/jpeg	https://observation.org/photos/12846752.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836622937	StillImage	image/jpeg	https://observation.org/photos/14907693.jpg							Michael Bakker Paiva			http://creativecommons.org/licenses/by-nc-nd/4.0/	Michael Bakker Paiva
2836617222	StillImage	image/jpeg	https://observation.org/photos/12849184.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836616171	StillImage	image/jpeg	https://observation.org/photos/16499596.jpg							Julien Preud'homme			http://creativecommons.org/licenses/by-nc/4.0/	Julien Preud'homme
2836612345	StillImage	image/jpeg	https://observation.org/photos/12840634.jpg							Martin Schlüpmann			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martin Schlüpmann
2836611359	StillImage	image/jpeg	https://observation.org/photos/20550349.jpg							Erik ETIENNE			http://creativecommons.org/licenses/by-nc-nd/4.0/	Erik ETIENNE
2836610882	StillImage	image/jpeg	https://observation.org/photos/17536340.jpg							Nico de Vries			All rights reserved	Nico de Vries
2836603744	StillImage	image/jpeg	https://observation.org/photos/25373045.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	Hans Mankor
2836603737	StillImage	image/jpeg	https://observation.org/photos/25371453.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	Hans Mankor
2836601310	StillImage	image/jpeg	https://observation.org/photos/15587874.jpg							Ronan Arhuro			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ronan Arhuro
2836601310	StillImage	image/jpeg	https://observation.org/photos/15587875.jpg							Ronan Arhuro			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ronan Arhuro
2836601310	StillImage	image/jpeg	https://observation.org/photos/15587872.jpg							Ronan Arhuro			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ronan Arhuro
2836601310	StillImage	image/jpeg	https://observation.org/photos/15587873.jpg							Ronan Arhuro			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ronan Arhuro
2836601310	StillImage	image/jpeg	https://observation.org/photos/15587876.jpg							Ronan Arhuro			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ronan Arhuro
2836599450	StillImage	image/jpeg	https://observation.org/photos/15587220.jpg							Ronan Arhuro			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ronan Arhuro
